Functional class,Parent Funcional class,Parent of parent Functional class,Economical class,Parent Economical class,Parent of parent Economical class,Date,Amount (1000 HUF)
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,62
"022010 - Polgári honvédelem ágazati feladatai, a lakosság felkészítése",0220 - Polgári honvédelem,0210 - Katonai védelem,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,420
064010 - Közvilágítás,0640 - Közvilágítás,0630 - Vízellátás,50 - Fizetendő általános forgalmi adó K,59 - Különféle befizetések és egyéb dologi kiadások,60 - Dologi kiadások,2014-04-16,3370
"091110 - Óvodai nevelés, ellátás szakmai feladatai",0911 - Óvodai nevelés,9 - Oktatás,29 - Szakmai anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,28753
091250 - Alapfokú művészetoktatással összefüggő működtetési feladatok,"0912 - Iskolai nevelés, oktatás az 1-4. évfolyamokon",0911 - Óvodai nevelés,40 - Karbantartási kisjavítási szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,543
096020 - Iskolai intézményi étkeztetés,0960 - Oktatást kiegészítő szolgáltatások,0950 - Szint alapján nem meghatározható oktatási szolgáltatások,1 - Törvény szerinti illetmények munkabérek K,15 - Foglalkoztatottak személyi juttatásai,20 - Személyi juttatások összesen,2014-04-16,72219
101221 - Fogyatékossággal élők nappali ellátása,1012 - Fogyatékosság,1011 - Betegség,36 - Közüzemi díjak K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,1408
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,25 - ebből egészségügyi hozzájárulás K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,1353
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,28 - ebből munkáltatót terhelő személyi jövedelemadó K,21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó,271 - Költségvetési kiadások,2014-04-16,802
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,30 - Üzemeltetési anyagok beszerzése K,32 - Készletbeszerzés,60 - Dologi kiadások,2014-04-16,3268
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,38 - Bérleti és lízing díjak,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,9
"016010 - Országgyűlési, önkormányzati és európai parlamenti képviselőválasztásokhoz kapcsolódó tevékenységek",0160 - Egyéb általános közszolgáltatások,0150 - Általános közszolgáltatásokhoz kapcsolódó K+F,44 - Egyéb szolgáltatások K,45 - Szolgáltatási kiadások,60 - Dologi kiadások,2014-04-16,7607
