011130 Önkormányzatok és önkormányzati hivatalok jogalkotó és általános igazgatási tevékenysége;projektmenedzsment, irodisták, takarítás, autók, kocsik, felújítás, eszközbeszerzés, biztonsági szolgálat, jutalom, marketing, kutatás, közfoglalkoztatás, honlap, beszerzések, fizetés, bér, iroda, könyvvizsgáló, cégautó, biztosítás
013350 Az önkormányzati vagyonnal való gazdálkodással kapcsolatos feladatok;projektmenedzsment, irodisták, ingatlan, közüzemi díj, bérlakás, lakásvárlás, lakás
013360 Más szerv részére végzett pénzügyi-gazdálkodási, üzemeltetési, egyéb szolgáltatások;irodisták, munkabérek, fizetés, ügyintézés, fizu, választás
016080 Kiemelt állami és önkormányzati rendezvények;szabadidő, szórakozás, buli, ünnep, rendezvény, falunap, búcsú, koncert, tüzijáték, augusztus 20, március 15, hóvirágünnep, kozmix, ünnepség, ünnepségek, programok, 
031030 Közterület rendjének fenntartása;gumibot, járőr, bilincs, biztonság, térfigyelés, trafipax, kamerák, kamerázás, kamera, polgárőr, polgárőrség, lopás, rablás
031060 Bűnmegelőzés;bűnözés, bűnmegelőzés, lopás, tolvajok, börtön, rendőrség, biztonság, kábítószer, prevenció, megelőzés, fiatalkori bűnözés, áldozat, 
045120 Út, autópálya építése;útépítés, járda, út, utak, közlekedés, út, utca, tér, köz, felújítás, aszfaltozás, új utak
045160 Közutak, hidak, alagutak üzemeltetése, fenntartása;közlekedés, kátyúzás
066010 Zöldterület-kezelés;parkok, környezetvédelem, fák, fa, park, parkosítás, zöld, zöldterület, kutyagumi, gallyazás, kutyakaki, virág
066020 Város-, községgazdálkodási egyéb szolgáltatások;rongálás, firkálás, graffiti, közlekedés, kutya, bicikli, kerékpár, park, kutak, szökőkút, csatorna, vízelvezetés, árok, kerékpár, fa, fapótlás, zöld, közterület, pihenőhely, emlékhely, emlékmű, pálya, játszótér, közösségi, forgalom, parkoló, kert, kerti, virág, fiatal, sport, pály
072111 Háziorvosi alapellátás;orvos, egészségügy, doki, doktor, betegség, egészség, egészségügy, betegek, betegellátás
072210 Járóbetegek gyógyító szakellátása;orvos, egészségügy, doki, doktor, betegség, egészség, egészségügy, betegek, betegellátás, ápolónő, ápoló
072420 Egészségügyi laboratóriumi szolgáltatások;vérvétel, vizelet vizsgálat, széklet vizsgálat, laboratórium, labor, egészségügy, vizsgálat, 
072430 Képalkotó diagnosztikai szolgáltatások;röntgen, mR, CT, ultrahang, egészség, egészségügy, rendelő, kórház, orvos, beteg, betegség, gyógyászat, eszközbeszerzés
074031 Család és nővédelmi egészségügyi gondozás;család, nők, nő, családok, gondozás
081043 Iskolai, diáksport-tevékenység és támogatása;iskola, diák, sport, diáksport, mozgás, testnevelés, suli, egészség, egészséges életmód, gyerek, gyerekek, diákok, mozgás, sporttámogatás
081045 Szabadidősport- (rekreációs sport-) tevékenység és támogatása;szabadidősport, szabadidő, sport, egészség, egészséges életmód, mozgás, edzés, rekreáció, sportklub, verseny, nyaraltatás
081071 Üdülői szálláshely-szolgáltatás és étkeztetés;üdülő, nyaraló, tábor, nyaralás,hétvégi ház, kaja, gyerektábor, nyári tábor, üdülés, étkeztetés, szállás, táboroztatás
083030 Egyéb kiadói tevékenység;weboldal, honlap, helyi újság, helyi lapok, kiadványok, marketing, PR, újság, hírek, internet, 
091110 Óvodai nevelés, ellátás szakmai feladatai;Óvoda, gyerek, gyerekek, nevelés,óvónő, logopédus, ovónéni, óvodai dolgozó, óvodai dolgozók, dadus, ovi
091140 Óvodai nevelés, ellátás működtetési feladatai;Óvoda, gyerek, gyerekek, nevelés, ágy, ovi, óvodák, 
091220 Köznevelési intézmény 1-4. évfolyamán tanulók nevelésével, oktatásával összefüggő működtetési feladatok;tanterem, kréta, lámpa, vakolás, padló, tábla, vetítő, padok, székek, ablak, ajtó, felújítás, karbantartás, infrastruktúra, oktatás, iskola, iskolák, iskolafelújítás
092120 Köznevelési intézmény 5-8. évfolyamán tanulók nevelésével, oktatásával összefüggő működtetési feladatok;tanterem, kréta, lámpa, vakolás, padló, tábla, vetítő, padok, székek, ablak, ajtó, felújítás, karbantartás, infrastruktúra, oktatás, iskola, iskolák, iskolafelújítás
092260 Gimnázium és szakképző iskola tanulóinak közismereti és szakmai elméleti oktatásával összefüggő működtetési feladatok;tanterem, kréta, lámpa, vakolás, padló, tábla, vetítő, padok, székek, ablak, ajtó, felújítás, karbantartás, infrastruktúra, oktatás, iskola, iskolák, iskolafelújítás
092270 Szakképző iskolai tanulók szakmai gyakorlati oktatásával összefüggő működtetési feladatok;tanterem, kréta, lámpa, vakolás, padló, tábla, vetítő, padok, székek, ablak, ajtó, felújítás, karbantartás, infrastruktúra, oktatás, iskola, iskolák, iskolafelújítás
096010 Óvodai intézményi étkeztetés;menza, kaja, ebéd, étkeztetés, uzsonna, kakaó, rizseshús, kifli, párizsi, tejberízs, aranygaluska, főzelék
096020 Iskolai intézményi étkeztetés;menza, kaja, ebéd, étkeztetés, uzsonna, kakaó, rizseshús, kifli, párizsi, tejbegríz, aranygaluska, főzelék
102030 Idősek, demens betegek nappali ellátása;idősek, idősgondozás, öregek, gyógyszer, ellátás, ápolás, betegség, öregség, szépkorúak, szociális ellátás, gondozás, nyugdíjas, nyugdíjasok
102050 Az időskorúak társadalmi integrációját célzó programok;idősek, idős, öregek, öregsgég, integráció, nyugdíjas, nyugdíjasok, 
104030 Gyermekek napközbeni ellátása;napközi, tábla, padok, kréta, menza, iskolatej, uzsonna, ellátás, gyerek, gyermek, kiskorú, fiatal
107051 Szociális étkeztetés;menza, kaja, ebéd, étkeztetés, uzsonna, kakaó, rizseshús, kifli, párizsi, grizes tészta, szociális, ellátás, étkezés, étkeztetés
