Level1,Level2,Level3,Total
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből egészségügyi hozzájárulás K (25),1353
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből munkáltatót terhelő személyi jövedelemadó K (28),802
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),62
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),3268
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Bérleti és lízing díjak (38),9
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),7607
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),3340
Költségvetési kiadások (271),203 - Beruházások (203),Egyéb tárgyi eszközök beszerzése létesítése K (199),246
Költségvetési kiadások (271),203 - Beruházások (203),Beruházási célú előzetesen felszámított általános forgalmi adó K (202),66
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),937
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),253
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),979
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Egyéb külső személyi juttatások K (18),10097
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),247
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),180
Dologi kiadások (60),32 - Készletbeszerzés (32),Üzemeltetési anyagok beszerzése K (30),14
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Bérleti és lízing díjak (38),2540
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Szakmai tevékenységet segítő szolgáltatások K (43),300
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),9067
Dologi kiadások (60),48 - Kiküldetések reklám és propagandakiadások (48),Reklám és propagandakiadások K (47),36
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),5478
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),964
Egyéb felhalmozási célú kiadások (270),221 - Felhalmozási célú visszatérítendő támogatások kölcsönök törlesztése államháztartáson belülre (221),ebből központi költségvetési szervek K (222),59880
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Egyéb dologi kiadások K (58),2680
Költségvetési kiadások (271),194 - Egyéb működési célú kiadások (194),Elvonások és befizetések K (130),33877
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),1126
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),7
Költségvetési kiadások (271),194 - Egyéb működési célú kiadások (194),Elvonások és befizetések K (130),115866
Kiadások összesen (310),309 - Finanszírozási kiadások (309),Belföldi finanszírozás kiadásai (297),8742298
Személyi juttatások összesen (20),19 - Külső személyi juttatások (19),Munkavégzésre irányuló egyéb jogviszonyban nem saját foglalkoztatottnak fizetett juttatások K (17),970
Költségvetési kiadások (271),21 - Munkaadókat terhelő járulékok és szociális hozzájárulási adó (21),ebből szociális hozzájárulási adó K (22),227
Dologi kiadások (60),32 - Készletbeszerzés (32),Szakmai anyagok beszerzése K (29),420
Dologi kiadások (60),45 - Szolgáltatási kiadások (45),Egyéb szolgáltatások K (44),151
Dologi kiadások (60),59 - Különféle befizetések és egyéb dologi kiadások (59),Működési célú előzetesen felszámított általános forgalmi adó K (49),154
Személyi juttatások összesen (20),15 - Foglalkoztatottak személyi juttatásai (15),Törvény szerinti illetmények munkabérek K (1),85738
